ID,Name,Birthdate,Survey_Year,Survey_Month,Survey_Day,Street_Number,Street_Name,Zipcode,Gender,Ethnicity
4,"Walker, Robert",12/10/1990,2008,6,22,6,Gamelyn Walk,33183,1,2
10,"Bilobran, Brenda",9/10/1990,2008,4,5,270,Johnson St,19138,2,2
40,"Cantatore, Lorian",5/12/1991,2008,7,13,618,Darlington Pl,33143,2,2
51,"Dives, Sean",7/29/1987,2007,1,2,4320,Colony Woods Dr,92054,2,2
56,"Mccleary, Bill",5/27/1980,2008,12,7,744,Chapwith Rd,19142,2,2
61,"Borge, Kathryn",8/19/1990,2008,4,6,3313,Dothan Ct,19107,2,2
66,"Buddery, Jeannette",5/4/1991,2008,7,12,2547,Allenby Dr,91913,2,1
70,"Asta, Wendy",2/21/1991,2008,7,3,219,Ivydale Dr,33178,2,2
86,"Leazer, Sharon",5/9/1990,2008,3,1,461,Kimberly Dr,19121,2,2
123,"Denny, Satyakam",2/7/1983,2008,12,4,10398,Crown Forest Ct,92025,2,2
128,"Pa, Koavea",10/7/1988,2008,1,25,60,Hodge Rd,33138,2,3
132,"Lattimer, Brandy",8/31/1989,2006,2,3,1636,Gorman St,33012,2,2
199,"Motashaw, Elisabeth",6/18/1990,2008,3,7,1611,Kronos Ln,33054,2,2
211,"Donnell, Damesha",11/12/1990,2008,5,1,4137,Deer Haven Dr,92101,2,2
232,"Banaszak, John",3/3/1991,2006,7,7,215,Alercia Ct,92029,2,2
238,"Highpoint, Harry",3/9/1989,2008,2,25,4104,Blackwolf Run Ln,92114,2,2
243,"Elvish, Irenie",9/6/1991,2006,9,25,84,Holt Dr,33183,2,1
247,"Gordo, Lily-Ann",1/1/1991,2008,6,4,1538,Dacian Rd,92124,2,2
283,"Marples, Donald",8/16/1990,2008,4,5,39,Brush Stream Dr,33179,1,2
296,"Capps, Ramond",10/17/1990,2008,5,7,3118,Iris Dr,92105,2,2
300,"Digiorgio, Shia-Ling",8/1/1991,2006,9,26,5194,Calm Winds Ct,92071,2,2
302,"Lightbourne, Abelino",10/28/1990,2008,5,5,63,Fountainhead Dr,33180,2,2
310,"Kornblith, Anglar",10/24/1989,2006,2,6,744,Farmington Grove Dr,33141,2,2
367,"Capps, Ramond",5/14/1991,2008,7,12,701,Glenridge Dr,33177,2,2
369,"Areu, Jeryl",2/7/1991,2008,6,6,651,Bluebird Ct,92027,2,2
403,"Sines, Rilma",11/10/1990,2008,5,1,1636,Gorman St,33012,2,1
472,"Aisbitt, Sandy",2/3/1987,2007,1,2,110,Glascock St,91950,2,2
486,"Xing Moore, Wei",10/30/1990,2008,5,2,40,Dry Fork Ln,33193,2,2
497,"Cross, Samantha",7/3/1991,2008,8,23,101,Avent Ferry Rd,33178,2,2
